Var1,Var2
1,56.7724431804876
2,30.5556499027163
3,40.212529342435
4,34.7682524011483
5,27.2137744874641
6,27.1407295683364
7,48.5422014842525
8,57.2166784688639
9,48.2070553210433
10,36.7155203448755
11,41.1876864676321
12,50.972436402583
13,39.1722151050748
14,22.5874981425533
15,76.2470168852806
16,31.5201413267999
17,37.4486307187116
18,37.1912500948863
19,31.3643527379757
20,35.3933760548534
21,27.5807797102325
22,33.065002478748
23,29.1146760395038
24,34.0439137121768
25,36.683031630991
26,29.1760860082351
27,35.3935427441875
28,34.6022791633825
29,36.5049615802888
30,31.3445290889026
31,43.8084895316151
32,35.1848983277708
33,30.0001466325112
34,28.8188556743164
35,39.3965888705748
36,32.1297427992886
37,37.1153900007182
38,34.0960413625332
39,39.3098037706891
40,78.2029557899398
41,32.4629733859171
42,41.4662118969583
43,53.9130495270907
44,25.7380111327735
45,29.3561856171689
46,45.0574902819029
47,33.1861709741384
48,46.508705952517
49,27.2420977780599
50,33.4503273422199
51,46.202940448948
52,59.5683950158864
53,41.5373289787295
54,30.6309414950181
55,38.1836916565684
56,34.0816535100221
57,26.0599860413911
58,31.3029889829882
59,35.6923436246386
60,51.0004207429306
61,39.5587319986379
62,28.5430219179645
63,43.0808784481429
64,25.5308077451409
65,49.7191227800587
66,44.9219927477277
67,40.605508451392
68,26.0988462602281
69,22.9740836760968
70,27.5115874079714
71,26.4898842972653
72,31.9237122534734
73,54.6007634620932
74,30.1590735253011
75,40.5411741053281
76,43.1869531324995
77,36.7852639088472
78,36.8675436058791
79,151.3685432442
80,33.2231070745021
81,27.3543197937678
82,40.6928074308242
83,40.7144158517077
84,38.0904075192537
85,32.442432067358
86,33.2142539844516
87,31.2067483563022
88,48.6356001455692
89,38.3371256572766
90,55.4999767432817
91,29.3166708149626
92,29.4964111055872
93,32.1487309713273
94,34.9470688487436
95,42.2569388265253
96,43.2796867903573
97,53.1020820415652
98,76.6082983564921
99,37.1030538376449
100,30.6840560978653
